zone_id,P_i,is_vulnerable,in_model_sample,geometry_wkt
114,10.0,False,False,"POLYGON ((687513.183963 7051147.787632, 687494.189197 7051347.052339, 687693.742701 7051366.20984, 687712.737001 7051166.944919, 687513.183963 7051147.787632))"
115,6.0,False,False,"POLYGON ((687494.189197 7051347.052339, 687475.193974 7051546.317435, 687674.747944 7051565.475151, 687693.742701 7051366.20984, 687494.189197 7051347.052339))"
116,12.0,False,False,"POLYGON ((687095.082106 7051308.735706, 687076.08595 7051508.000372, 687275.639975 7051527.159175, 687294.635666 7051327.894294, 687095.082106 7051308.735706))"
117,7.0,False,False,"POLYGON ((687076.08595 7051508.000372, 687057.089335 7051707.265428, 687256.643827 7051726.424446, 687275.639975 7051527.159175, 687076.08595 7051508.000372))"
118,1.0,False,False,"POLYGON ((687057.089335 7051707.265428, 687038.092262 7051906.530873, 687237.647221 7051925.690107, 687256.643827 7051726.424446, 687057.089335 7051707.265428))"
119,10.0,False,False,"POLYGON ((687256.643827 7051726.424446, 687237.647221 7051925.690107, 687437.202153 7051944.848796, 687456.198292 7051745.582921, 687256.643827 7051726.424446))"
120,4.0,False,False,"POLYGON ((686857.534814 7051688.105865, 686838.537275 7051887.371096, 687038.092262 7051906.530873, 687057.089335 7051707.265428, 686857.534814 7051688.105865))"
121,3.0,False,False,"POLYGON ((686781.541905 7052485.169129, 686762.542532 7052684.435921, 686962.099388 7052703.59656, 686981.098294 7052504.329552, 686781.541905 7052485.169129))"
122,7.0,False,False,"POLYGON ((686762.542532 7052684.435921, 686743.5427 7052883.703105, 686943.100024 7052902.863958, 686962.099388 7052703.59656, 686762.542532 7052684.435921))"
123,2.0,False,False,"POLYGON ((686943.100024 7052902.863958, 686924.100201 7053102.131749, 687123.657965 7053121.292273, 687142.65732 7052922.024268, 686943.100024 7052902.863958))"
124,4.0,False,False,"POLYGON ((687123.657965 7053121.292273, 687104.658152 7053320.56067, 687304.216356 7053339.720866, 687323.215701 7053140.452253, 687123.657965 7053121.292273))"
125,1.0,False,False,"POLYGON ((687142.65732 7052922.024268, 687123.657965 7053121.292273, 687323.215701 7053140.452253, 687342.214588 7052941.184033, 687142.65732 7052922.024268))"
126,20.0,False,False,"POLYGON ((687323.215701 7053140.452253, 687304.216356 7053339.720866, 687503.774532 7053358.880517, 687522.77341 7053159.611689, 687323.215701 7053140.452253))"
127,36.0,False,False,"POLYGON ((687342.214588 7052941.184033, 687323.215701 7053140.452253, 687522.77341 7053159.611689, 687541.771829 7052960.343253, 687342.214588 7052941.184033))"
128,60.0,False,True,"POLYGON ((687361.213017 7052741.916203, 687342.214588 7052941.184033, 687541.771829 7052960.343253, 687560.76979 7052761.075209, 687361.213017 7052741.916203))"
129,2.0,False,False,"POLYGON ((687817.31627 7052182.431239, 687798.320149 7052381.698325, 687997.875932 7052400.855812, 688016.871586 7052201.588511, 687817.31627 7052182.431239))"
130,17.0,False,False,"POLYGON ((687579.767293 7052561.807556, 687560.76979 7052761.075209, 687760.326535 7052780.23367, 687779.323571 7052580.965802, 687579.767293 7052561.807556))"
131,20.0,False,False,"POLYGON ((687560.76979 7052761.075209, 687541.771829 7052960.343253, 687741.329042 7052979.50193, 687760.326535 7052780.23367, 687560.76979 7052761.075209))"
132,28.0,False,False,"POLYGON ((687522.77341 7053159.611689, 687503.774532 7053358.880517, 687703.332682 7053378.039623, 687722.331091 7053178.77058, 687522.77341 7053159.611689))"
